participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,sus_score
P01,4,2,4,2,4,2,4,2,4,2,75.0
P02,5,1,5,1,5,2,5,2,4,1,92.5
P03,4,2,4,2,4,2,4,2,4,2,75.0
P04,5,2,4,1,5,1,5,1,5,2,92.5
P05,4,1,5,2,4,1,4,2,4,1,85.0
P06,4,2,4,2,4,2,4,2,4,2,75.0
P07,5,1,4,1,5,2,5,1,5,1,95.0
P08,4,2,4,2,4,2,4,2,4,2,75.0
P09,5,1,5,1,5,2,5,2,4,1,92.5
P10,4,2,4,2,4,1,4,2,4,2,77.5
P11,5,2,5,1,5,1,5,1,5,2,95.0
P12,4,1,4,2,4,2,4,1,4,2,80.0
P13,4,2,4,2,4,2,4,2,4,2,75.0
P14,5,1,5,1,5,2,5,1,5,2,95.0
P15,4,2,4,1,5,2,4,1,4,2,82.5
